Ga̲hnawa̲ˀgehó:nǫˀ	'Caughnawagans'	[ga̲-hnaw-a̲-ˀgeh-hó:nǫˀ]	it.a-rapids-joinerA-on-populative
Ga̲hnáwa̲ˀgeh	'Caughnawaga'	[ga̲-hnáw-a̲-ˀgeh]	it.a-rapids-joinerA-on
ganyada:ˀge̲hó:nǫˀ	'lake people, cottagers'	[ga-nyada:-ˀgeh-hó:nǫˀ]	it.a-lake-on-populative
ganyadá:ˀgeh	'to, at the lake'	[ga-nyadá:-ˀgeh]	it.a-lake-on
ǫhnyaˀge̲hó:nǫˀ	'people of the river flats'	[ǫhny-a-ˀgeh-hó:nǫˀ]	ø.prefix-river.flats-joinerA-on-populative
ǫhnyáˀgeh	'on the river flats'	[ǫhny-á-ˀgeh]	ø.prefix-river.flats-joinerA-on
oyajihó:nǫˀ	'stranger, alien'	[o-ya-ji-hó:nǫˀ]	it.o-other-intensifier-populative
oyá:jih	'another type'	[o-yá:-jih]	it.o-other-intensifier
Ganeda̲ˀgehó:nǫˀ	'Lower End People'	[ga-ned-a̲-ˀgeh-hó:nǫˀ]	it.a-valley-joinerA-on-populative
hadihǫwaˀge̲hó:nǫˀ	'sailors, navy men, merchant marines'	[hadi-hǫw-a-ˀge̲-hó:nǫˀ]	they(males).a-boat-joinerA-on
ga̲hǫ́:waˀ	'boat'	[ga̲-hǫ́:w-aˀ]	it.a-boat-nsf
Ga̲hnawiyoˀge̲hó:nǫˀ	'Oklahomans'	[ga̲-hnaw-iyo-ˀge̲h-hó:nǫˀ]	it.a-rapids-beautiful.stative-on-populative
Ga̲hnawiyóˀgeh	'Oklahoma'	[ga̲-hnaw-iyó-ˀgeh]	it.a-rapids-beautiful.stative-on
Ganǫhgwa̲ˀtrohó:nǫˀ	'Sour Spring People'	[ga-nǫhgwa̲ˀtr-o-hó:nǫˀ]	it.a-medicine-submerged.stative-on-populative
Ganǫ́hgwa̲ˀtroˀ	'Sour Springs'	[ga-nǫ́hgwa̲ˀtr-oˀ]	it.a-medicine-submerged.stative
Dagęhyathó:nǫˀ	'Upper End People'	[da-g-ęhy-a-t-hó:nǫˀ]	cislocative-it.a-mountain.top-stand.stative-on-populative
Gwahsdǫhó:nǫˀ	'Americans'	[gwahsdǫ-hó:nǫˀ]	ø.prefix-
Gwahsdǫhonǫˀge̲hó:nǫˀ	'United States citizen'	[gwahsdǫh-honǫh-ˀge̲-hó:nǫˀ]	ø.prefix-boston-populative-on-populative
Gwahsdǫhonǫˀgeh	'United States'	[gwahsdǫ-honǫ-ˀgeh]	ø.prefix-boston-populative-on
ahóhda̲ˀjih	'he really got full'	[a-hó-hda̲-ˀ-jih]	factual-he.o-get.full-punctual-intensifier
ahóhdaˀ	'he got full'	[a-hó-hda-ˀ]	factual-he.o-get.full-punctual
gęh?	'Are you (really) well?'	[s-g-ęnǫ́-jih]	repetitive-it.a-originate.from.stative-intensifier
Sgę́:nǫˀ.	'Hello'	[s-g-ę́:nǫˀ]	repetitive-it.a-originate.from.stative
ohnáˀgę̲ˀjih	'back then, back there, late, the bottom'	[o-hná:gę̲ˀ-jih]	it.o-under.stative-intensifier
ohnáˀgę:ˀ	'behind, late'	[o-hná:gę:-ˀ]	it.o-under.stative-nsf
hé:tgę̲hjih	'the very top'	[hé:tgę̲h-jih]	above-intensifier
ga̲ˀdrehda̲ˀsǫ́:ˀǫh	'many, a variety of cars'	[ga̲-ˀdrehd-aˀ-shǫ́:ˀǫh]	it.a-car-nsf-pluralizer
ga̲ˀdréhdaˀ	'car(s)'	[ga̲-ˀdréhd-aˀ]	it.a-car-nsf
ohǫda̲ˀsǫ́:ˀǫh	'bushes'	[o-hǫda̲ˀ-shǫ́:ˀǫh]	it.o-sapling-nsf-pluralizer
ohǫ́:daˀ	'whip(s)'	[o-hǫ́:d-aˀ]	it.o-sapling-nsf
jidęˀsǫ́:ˀǫh	'birds'	[jidęˀ-shǫ́:ˀǫh]	ø.prefix-bird-pluralizer
jidę́:ˀęh	'bird(s)'	[jidę́:-ˀeh]	ø.prefix-bird-pluralizer
agetgwę̲ˀdaˀsǫ́:ˀǫh	'my suitcases (ones that are scattered around)’	[age-tgwę̲ˀd-aˀ-shǫ́:ˀǫh]	my-wallet-nsf-pluralizer
agétgwę̲ˀdaˀ	'my suitcase(s), wallet(s), purse(s)'	[agé-tgwę̲ˀd-aˀ]	my-wallet-nsf
hadiksa̲ˀsǫ́:ˀǫh	'male children'	[hadi-ks-a̲ˀ-shǫ́:ˀǫh]	they(males).a-child-nsf-pluralizer
hadiksá:ˀah	'two boys'	[hadi-ks-á:ˀ-ˀah]	they(males).a-child-nsf-diminutive
gaeksa̲ˀsǫ́:ˀǫh	'female or mixed children'	[gae-ks-a̲ˀ-shǫ́:ˀǫh]	they(fe/males).a-child-nsf-pluralizer
gaeksá:ˀah	'two girls'	[gae-ksá:-ˀah]	they(fe/males).a-child-nsf-diminutive
ehstaˀ	'she uses or people use'	[e-hsd-haˀ]	someone-use-habitual
ga:gǫgwéˀdase:	'young women'	[ga:g-ǫgwéˀd-ase:]	they(fe/males).a-people-new.stative
gakeyadreˀsǫ́:ˀǫh	'my grandchildren'	[gakey-adreˀ-shǫ́:ˀǫh]	I:them-join.stative-pluralizer
gagéhǫˀ	'one of each thing lying around'	[sgat-shǫ́:ˀǫh]	one-pluralizer
hęwáge̲hoˀ.	'Oh, I'll be here around 5 o'clock.'	[hwihs-shǫ́:ˀǫh]	five-pluralizer
ta:dí:yǫˀ	'they came in one by one'	[sgat-shǫ́:ˀǫh]	one-pluralizer
agétgwę̲ˀdaˀ	'my suitcase(s), wallet(s), purse(s)'	[agé-twę̲ˀd-aˀ]	my-wallet-nsf
gakeyadréˀsǫˀ	'my grandchildren'	[gakey-adréˀ-shǫˀ]	I:them-join.stative-pluralizer
ǫdę́nǫ̲hksǫˀ	'relatives'	[ǫ-dę́-nǫ̲hk-shǫˀ]	someone-semireflexive-relative-pluralizer
agya:dę́:nǫhk	'my relative'	[agya:-dę́:-nǫhk]	my-semireflexive-relative
gakehji̲ˀáhsǫˀ	'my older siblings'	[gake-hji̲ˀáh-sǫˀ]	I:them-older.sibling-pluralizer
kehjíˀah	'my older sister'	[keh-jí-ˀah]	I:them-older.sibling
hwihsǫˀ	'five-ish, around 5:00'	[hwihs-shǫˀ]	five-pluralizer
sgatsǫˀ	'one at a time'	[sgat-shǫˀ]	one-pluralizer
deknísǫˀ	'by twos, two at a time '	[dekní-shǫˀ]	two-pluralizer
jo̲hsíˀdatsǫˀ	'one foot apart'	[j-o-hsíˀd-a-t-shǫˀ]	repetitive-it.o-foot-joinerA-stand.stative-pluralizer
jo̲hsíˀda:t	'one foot'	[j-o-hsíˀd-a:-t]	repetitive-it.o-foot-joinerA-stand.stative
sga̲ˀdréhdatsǫˀ	‘one car at a time’, ‘each car’, ‘per car’	[s-ga̲-ˀdrehd-a-t-shǫˀ]	repetitive-it.a-car-joinerA-stand.stative-pluralizer
sga̲ˀdréhda:t	'one car'	[s-ga̲-ˀdrehd-a:-t]	repetitive-it.a-car-joinerA-stand.stative
degadiyáhshesǫˀ	‘two things at a time’	[de-gadi-yáhshe-shǫˀ]	dualic-they(animals)/objects.a-two.things.stative-pluralizer
degadiyáhshe:	'two of them; they are two (things)'	[de-gadi-yáhshe:]	dualic-they(animals)/objects.a-two.things.stative
hoyę́twę̲hsǫˀ	'he planted several things'	[ho-yętw-ę̲h-shǫˀ]	he.o-plant-stative-pluralizer
hoyę́:twęh	'he planted'	[ho-yę́:tw-ęh]	he.o-plant-stative
sawę́hsǫˀ	'your belongings, property'	[sa-węh-shǫˀ]	you(one).o-own.stative-pluralizer
sá:węh	'you own something'	[sa-węh]	you(one).o-own.stative
ogáyǫ̲hsǫˀ	'old things'	[o-gáy-ǫ̲h-shǫˀ]	it.o-old-stative-pluralizer
ogá:yǫh	'it is old'	[o-gá:y-ǫh]	it.o-old-stative
shǫgwaęnáwisǫˀ	'he has given us songs'	[shǫgwa-ęn-áwi-shǫˀ]	he:us-song-give.stative-pluralizer
de̲honę̲hsóweksǫˀ	'they (m) have their shoes on'	[de̲-hon-ę̲hs-ówek-shǫˀ]	dualic-they(males).o-shoe-be.covered.stative-pluralizer
da̲ha:dí:yǫˀ	'they came in one by one'	[sgat-shǫˀ]	one-pluralizer
da̲ha:dí:yǫˀ	'they came in one by one'	[sgat-shǫ́:ˀǫh]	one-pluralizer
hadíksa̲ˀsǫˀ	'they are acting like boys'	[hadí-ksa̲ˀ-shǫˀ]	they(males).a-child-pluralizer
hadiksa̲ˀsǫ́:ˀǫh	'they are acting like boys'	[hadi-ksa̲ˀ-shǫ́:ˀǫh]	they(males).a-child-pluralizer
agetgwę̲ˀdaˀsǫ́:ˀǫh	'my suitcases (ones that are scattered around)’	[age-tgwę̲ˀd-aˀ-shǫ́:ˀǫh]	my-wallet-nsf-pluralizer
agétgwę̲ˀdaˀ	'my suitcase(s), wallet(s), purse(s)'	[agé-tgwę̲ˀd-aˀ]	my-wallet-nsf
hǫgweˀdí:yo:	‘he is a nice person’	[h-ǫgwe-ˀd-í:yo:]	he.a-person-increment-nice.stative
ga̲hnyagwáiˀda̲ˀgę:t	‘polar bear’	[ga̲-hnyagwái-ˀd-a̲-ˀgę:t]	it.a-bear-increment-joinerA-light.coloured.stative
ga̲ˀdréhdaˀ	'car'	[ga̲-ˀdréhd-aˀ]	it.a-car-noun.stem.former
ga̲ˀdréhde:s	'long car'	[ga̲-ˀdréhd-e:s]	it.a-car-long.stative
awę́nǫ̲hgraˀ	'weeds'	[awę́nǫ̲hgr-aˀ]	ø.prefix-weed-noun.stem.former
owę́nǫ̲hgre:s	'tall weeds'	[o-wę́nǫ̲hgr-e:s]	it.o-weed-long.stative
onóˀjaˀ	'teeth'	[o-nóˀj-aˀ]	it.o-tooth-noun.stem.former
onóˀje:s	'a fang'	[o-nóˀj-e:s]	it.o-tooth-long.stative
atgáhnye̲ˀtraˀ	'sports, games'	[at-gáhnye̲ˀ-tr-aˀ]	ø.prefix-semireflexive-play-nominalizer-nsf
satgáhnyeˀ	'play!'	[s-at-gáhnyeˀ]	you(one).a-semireflexive-play.no-aspect
gaihwanéˀaksraˀ	'sin'	[ga-ihwa-néˀak-sr-aˀ]	it.a-matter-sin-nominalizer-nsf
ęgrihwanéˀa:k	'I will sin'	[ę-g-rihwa-néˀa:k]	future-I.a-matter-sin.punctual
oyę́hsraˀ	'blanket(s), quilt(s)'	[o-yę́-hsr-aˀ]	it.o-lie-nominalizer-nsf
gá:yęˀ	' it is lying on the ground'	[gá:-yę-ˀ]	it.a-lie-stative
adeˀnyędę́hsraˀ	'measurement(s)'	[ade-ˀnyędę́-hsr-aˀ]	semireflexive-measure-nominalizer-nsf
ęhsade̲ˀnyę́:dęˀ	'you will try, measure'	[ę-hs-ade̲-ˀnyę́:dę-ˀ]	future-you(one).a-semireflexive-measure-punctual
ga̲hyádǫ̲hsraˀ	'paper'	[ga̲-hyádǫ̲-hsr-aˀ]	it.a-write-nominalizer-nsf
ehyá:dǫh	'she or someone writes'	[e-hyá:dǫ-h]	she.a-write-habitual
gayaˀdowéhdǫ:ˀ	'the idea of thinking'	[ga-yaˀdowéhd-ǫ:ˀ]	it.a-think-stative.nominal
ehyá:dǫh	'she writes'	[e-hyá:dǫ-h]	she.a-write-habitual
ǫtgáhiˀtaˀ	'what she plays with'	[ǫ-t-gáhiˀt-haˀ]	she.a-semireflexive-play.with-habitual
wadǫnyedáhkwaˀ	'gill'	[w-ad-ǫnyed-á-hkwaˀ]	it.a-semireflexive-cause.to.breathe-joinerA-instrumental
wadǫ́nyetaˀ	'how it breathes’; ‘its a breather'	[w-ad-ǫ́nyet-haˀ]	it.a-semireflexive-cause.to.breathe-habitual
hadiˀdrǫdáhkwaˀ	'pasture'	[hadi-ˀdrǫ-d-á-hkwaˀ]	they(animals)/objects.a-live-cause-joinerA-instrumental
ehwihsdáęda̲hkwaˀ	'a bank'	[e-hwihsd-á-ęda̲hkwaˀ]	someone-money-joinerA-cause.to.lie.stative-joinerA-instrumental
ǫdręnodáhkwaˀ	'musical instruments'	[ǫ-d-ręn-odáhkwaˀ]	someone-semireflexive-song-stand.stative-joinerA-instrumental
ǫtnaˀdáǫda̲hkwaˀ	'a bread pan'	[ǫ-t-naˀd-á-ǫda̲hkwaˀ]	someone-semireflexive-bread-joinerA-attached/sticking.out.stative-joinerA-instrumental
ahdahgwa̲ˀǫ́:weh	‘shoe’ (a special type worn by a corpse at a funeral); ‘a mocassin’	[ahdahgw-a̲ˀ-ǫ́:weh]	shoe-nsf-typicalizer
ahdáhgwaˀ	‘shoe’	[ahdáhgw-aˀ]	shoe-nsf
oyę́hsraˀ	‘blanket’	[o-yę́hsr-aˀ]	it.o-blanket-nsf
ohnyǫ́hsaˀ	‘squash’	[o-hnyǫ́h-saˀ]	it.o-squash-nsf
oyę́ˀgwaˀ	‘tobacco’	[o-yę́ˀgw-aˀ]	it.o-tobacco-nsf
onę́hę:ˀ	‘corn’	[o-nę́hę:-ˀ]	it.o-corn-nsf
ganǫ́hsaˀ	‘house’	[ga-nǫ́hs-aˀ]	it.a-house-nsf
ganaˀja̲ˀǫ́:weh	‘cooking pots used at the longhouse’	[ga-naˀj-a̲ˀ-ǫ́:weh]	it.a-pot-nsf-typicalizer
ǫgwehǫ́:weh	‘Indian’	[ǫgweh-ǫ́:weh]	person-typicalizer
ga̲hǫ́wagǫ:	'in a boat'	[ga̲-hǫ́w-a-gǫ:]	it.a-boat-joinerA-in
ga̲hǫ́:waˀ	'boat'	[ga̲-hǫ́:w-aˀ]	it.a-boat-nsf
oyádagǫ:	'in the basement, track'	[o-yád-a-gǫ:]	it.o-track-joinerA-in
oyá:daˀ	'basement, track'	[o-yá:d-aˀ]	it.o-track-nsf
ohǫ́dagǫ:	'in the bushes'	[o-hǫ́d-a-gǫ:]	it.o-sapling-joinerA-in
ohǫ́:daˀ	'whip, sapling’	[o-hǫ́:d-aˀ]	it.o-sapling-nsf
ǫgwanadá:gǫ:	'in our community'	[ǫgwa-nad-á:-gǫ:]	we.all-town-joinerA-in
ǫgwa:ná:daˀ	'our community'	[ǫgwa:-ná:d-aˀ]	we.all-town-nsf
adę́ˀhęgǫ:	'in the yard'	[adę́ˀhę-gǫ:]	fence-joinerA-in
adę́hęˀ	'fence'	[adę́hę-ˀ]	fence-nsf
ohnégagǫ:	'in the lake, water'	[o-hnég-a-gǫ:]	it.o-water-joinerA-in
ganyadá:gǫ:	'underneath the lake'	[ga-nyadá:-gǫ:]	it.a-lake-in
ǫhnyá:gǫ:	'in the river flats'	[ǫhnyá:-gǫ:]	river.flats-joinerA-in
ganéˀdagǫ:	'under the valley'	[ga-néˀd-a-gǫ:]	it.a-valley-joinerA-in
ohéhdagǫ:	'under the ground'	[o-héhd-a-gǫ:]	it.o-earth-joinerA-in
senhǫ́hdagǫ:	'your (singular) underarm'	[se-nhǫ́hd-a-gǫ:]	you(one).a-underarm-joinerA-in
sragwáhdagǫ:	'the ball of your foot'	[s-ragwáhd-a-gǫ:]	you(one).a-sole-joinerA-in
seséhdagǫ:	'the nape of your neck'	[se-séhd-a-gǫ:]	you(one).a-nape-joinerA-in
ganǫhsá:kˀah	'beside the house'	[ga-nǫhs-á:-kˀah]	it.a-house-joinerA-beside
ganǫ́hsaˀ	'house'	[ga-nǫ́hs-aˀ]	it.a-house-nsf
akyęda̲hkwá:ˀkˀah	'beside the chair'	[akyęda̲hkw-á:-kˀah]	ø.prefix-chair-joinerA-beside
akyę́da̲hkwaˀ	'chair'	[akyę́da̲hkw-aˀ]	ø.prefix-chair-nsf
ga̲hę:dá:ˀkˀah	'by the field'	[ga̲-hę:d-á:ˀ-kˀah]	it.a-field-joinerA-beside
ga̲hę́dagǫ:	'in the field, meadow'	[ga̲-hę́d-a-gǫ:]	it.a-field-joinerA-in
adę́hęˀ	'fence'	[adę́hę-ˀ]	ø.prefix-fence-nsf
gi̲hę́:kˀah	'along the river'	[gi̲hę́:-kˀah]	ø.prefix-
gi̲hę:	'river'	[gi̲hę:]	ø.prefix-river
nigaˀdre̲hdá:kˀah	'short car'	[ni-ga-ˀdre̲hd-á:-kˀah]	partitive-it.a-car-joinerA-short.stative
ganǫhsakdá:gyeˀ	'along the house'	[ga-nǫhs-a-kdá:gyeˀ]	it.a-house-joinerA-alongside
ganǫ́hsaˀ	'house'	[ga-nǫ́hs-aˀ]	it.a-house-nsf
gi̲hę́kdagyeˀ	'along the river'	[gi̲hę́-kdagyeˀ]	ø.prefix-river-alongside
gi̲hę:	'river'	[gi̲hę:]	ø.prefix-river
tiyó:tˀah	'it is queer, unusual, odd'	[ti-yó:-t-ˀah]	coincident-it.o-stand-diminutive
de̲hóyętwęh	‘he did not plant’	[tęˀ] not [de̲-hó-yętw-ęh]	negative-he.o-plant-stative
dejo:drę́:no:t	'it is not singing again'	[tęˀ] not [de-j-o:-d-rę́:n-o:t] ]	negative-repetitive-it.o-semireflexive-song-stand.stative
ta:gaesayę́:de:	‘they will not recognize you’	[tęˀ] not [t-a:-gaesa-yę́:de:-ø]	contrastive-indefinite-they:you-recognize-no.aspect
ta:gé:gęh	‘I will not or should not see it’	[tęˀ] not [t-a:-gé:-gę-h]	contrastive-indefinite-I.a-see-no.aspect/pronunciation.h
ętsyáˀdęˀ.	‘Wait, you might fall’ (literally, ‘you will fall into something’)	[Waˀjih] ‘wait’ [ę-t-s-yáˀd-ę-ˀ]	future-cislocative-you(one).a-body-fall-punctual
nęyá:węh.	'I just thought that's what would happen.’ (literally, ‘what will happen’)	[ahí:ˀ] ‘I.thought’ [giˀ] ‘just’ [to] ‘that’ [n-ę-yá:-w-ęh-ø]	partitive-future-it.o-happen-ø.punctual
gęh?	‘Do you want to come along with me?’	[ę-tn-é:-ˀ]	future-we.two.inclusive-go.purposive-punctual
diˀ?	‘Are you coming along?’	[ę-hsn-é:-ˀ]	future-you(two).a-go.purposive-punctual
ęyǫhdę́:diˀ?	'When is she going away?'	[hwę:dǫ́h] ‘when’ [ę-yǫ-hdę́:di-ˀ]	future-she.a-leave-punctual
ęhsyeh.	‘wake up!’	[ę-hs-yeh-ø]	future-you(one).a-awaken-ø.punctual
ęhsyǫ́:gyaˀt.	‘smile!’	[ę-hs-yǫ́:gyaˀd-ø]	future-you(one).a-smile-ø.punctual
ęháyętoˀ	'he will plant it'	[ę-há-yęto-ˀ]	future-he.a-plant-punctual
akní:nǫˀ	‘I bought it’	[a-k-hní:nǫ-ˀ]	factual-I.a-buy-punctual
ǫknéhagoˀ	‘I amamazed’, ‘I was amazed’	[ǫk-néhago-ˀ]	factual.I.o-amazed-punctual
sagádǫnhe:t	‘I amalive again’	[s-a-g-ád-ǫnhe:t-ø]	repetitive-factual-I.a-semireflexive-live-ø.punctual
deháyętwahs	'he is not a planter'	[tęˀ] not [de-há-yętw-a-hs]	negative-he.a-plant-joinerA-habitual
hayę́:twahs	'he is a planter'	[ha-yę́:tw-a-hs]	he.a-plant-joinerA-habitual
detgáhe:ˀ	'it is not setting over there'	[de-t-gá-he:ˀ]	negative-cislocative-it.a-setting.on.top.of.stative
dejo:drę́:no:t	'it is not singing again'	[tęˀ] not [de-j-o:-d-rę́:n-o:t] ]	negative-repetitive-it.o-semireflexive-song-stand.stative
jodrę́:no:t	'it is singing again'	[j-o-d-rę́:n-o:t]	repetitive-it.o-semireflexive-song-stand.stative
deyo:tó:weˀ	'it is not cold'	[tęˀ] not [de-yo:-t-hó:weˀ]	negative-it.o-semireflexive-cold.stative
otó:weˀ	'it is cold'	[o-t-hó:weˀ]	it.o-semireflexive-cold.stative
dehóyętwęh	'he is not planting; he hasn't planted'	[tęˀ] not [de-hó-yętw-ęh]	negative-he.o-plant-stative
hoyę́:twęh	'he is planting'	[ho-yę́:tw-ęh]	he.o-plant-stative
desadagáideˀ	'you feel sick'; 'you are not well'	[tęˀ] not [de-s-ad-agáideˀ]	negative-you(one).o-semireflexive-well.stative
degá:dę:s	'it is thin'; 'it is not thick'	[tęˀ] not [de-gá:-dę:s]	negative-it.a-thick.stative
dewagadǫtgá:dǫˀ	'I amunhappy'; 'I amnot happy'	[deˀ-ag-ad-ǫ́tgadeˀ], [de-wag-ad-ǫtgá:dǫˀ]	negative-I.o-semireflexive-happy.stative
desatnigǫhahdó:gęh	'you are immature in mind'; 'your mind is not mature’	[de-sa-t-ˀnigǫh-ahdó:g-ęh]	negative-you(one).o-semireflexive-mind-mature-stative
dehóge̲ˀo:t	'he is bald'; 'he has no hair'	[tęˀ] not [de-hó-ge̲ˀ-o:t]	negative-he.o-hair-stand.stative
dehonǫdánhęh	'he is innocent'; 'he is not guilty'	[de-ho-nǫdánh-ęh]	negative-he.o-guilty-stative
deˀaǫwé:saht	'it is unpleasant'; 'it is not pleasant'	[deˀ-a-ǫwé:saht]	negative-it.o-pleasant.stative
dehoihwa:dó:gę:	'he is a traitor'; 'he has not done right'	[de-ho-ihwa:-dó:gę:]	negative-he.o-matter-true.stative
dehoihwáęˀ	'he is innocent'; ‘nothing lies on him'	[sgahoˀdę́ˀ] nothing [de-ho-ihw-á-ęˀ]	negative-he.o-matter-joinerA-lie.stative
dehoˀnigǫ́ha:t	'he is ignorant, unthinkingly foolish'; 'he is not smart'	[de-ho-ˀnigǫ́h-a:-t]	negative-he.o-mind-joinerA-stand.stative
deyago̲ˀnigǫ̲há:gǫ:t	'she is uncompromising, unbending'; 'her mind does not dither'	[de-yago̲-ˀnigǫ̲h-á:-gǫ:t]	negative-she.o-mind-joinerA-persevere.stative
dedisa̲ˀnigǫ̲hí:yo:	'you are grumpy, grouchy'; 'you are not happy'	[de-di-sa̲-ˀnigǫ̲h-í:yo:]	negative-cislocative-you(one).o-mind-good.stative
desa:tǫ́:da:s	'you are disobedient'; 'you do not listen'	[de-s-a:t-hǫ́:da:-s]	negative-you(one).a-semireflexive-listen-habitual
deyǫtwaji:yǫ́:nih	'she is barren'; 'she cannot make a family'	[tęˀ] not [de-yǫ-t-hwaji:y-ǫ́:ni-h]	negative-it.o-semireflexive-family-make-habitual
desęˀnigǫhgáę	'you suffer'; 'your mind is not willing'	[de-s-ę-ˀnigǫh-gáę]	negative-you(one).o-semireflexive-mind-willing.stative
dewagegáę	'I am unwilling'; 'I do not want to do it'	[de-wag-e-gáę]	negative-I.o-joinerE-willing.stative
dehsnǫ́hweˀs	'you dislike'; 'you do not like'	[de-hs-nǫ́hwe-ˀs]	negative-you(one).a-like-habitual
desrihwanǫ́hweˀs	'you disapprove'; 'you do not approve'	[de-s-rihwa-nǫ́hwe-ˀs]	negative-you(one).a-matter-like-habitual
ta:hayę́:toh	‘he won't plant’	[t-a:-ha-yę́:to-h]	contrastive-indefinite-he.a-plant-no.aspect(pronunciation.h)
ęháyętoˀ	‘he will plant’	[ę-há-yęto-ˀ]	future-he.a-plant-punctual
gá:di:t	‘they (animals) are standing’	[gá:di:-t]	they.animals-stand.stative
tsaˀgaˀdre̲hdá:t	‘the same kind of car’	[tsaˀ-gá-ˀdre̲hd-a:-t]	coincident.factual-it.a-car-joinerA-stand.stative
sganǫ́hsa:t	‘one house’	[s-ga-nǫ́hs-a:-t]	repetitive-it.a-house-joinerA-stand.stative
tiyó:tˀah	‘it is queer, unusual, odd’	[ti-yó:-t-ˀah]	contrastive-it.o-stand.stative-diminutive
tsaˀónihseˀ	'it took a certain amount of time', or 'while a certain amount of time passed'	[ts-aˀ-ó-ni̲hse-ˀ]	coincident-factual-it.o-take.time-punctual
tsihágę̲hjih	'when he was an old man…'	[tsi-há-gę̲hjih]	coincident-he.a-old.person.stative
tsiyagwaksaˀsǫ́:ˀǫh	'when we were children…'	[tsi-yagwa-ksaˀ-shǫ́:ˀǫh]	coincident-we.all.exclusive.a-child-pluralizer
hohsę:	‘When he was young, he was fat.’	[tsi-h-ǫgwe̲ˀd-a:sé:]	coincident-he.a-person-new.stative
hǫgwéˀdase:	‘young man’	[h-ǫgwéˀd-ase:]	he.a-person-new.stative
tsiyeksa̲ˀdá:se:	'when she was a teenager…’	[tsi-ye-ksa̲ˀd-á:se:]	coincident-she.a-child-new.stative
eksaˀdasé:ˀah	‘teenage girl’	[e-ksaˀd-asé:-ˀah]	she.a-child-new.stative-diminutive
tsaˀgeht	‘I did it on purpose’	[ts-aˀ-g-ehd-ø]	coincident-factual-I.a-do.on.purpose-ø.punctual
ahahní:nǫˀ	‘he bought the same kind of car’ (as me)’	[tsaˀ-gá-ˀdre̲hd-a:-t]	coincident-factual-it.a-car-joinerA-stand.stative
tsiyaǫdadǫgę́hdǫh	'Sunday (past)'	[tsi-ya-ǫda-dǫgę́hd-ǫh]	coincident-it.o-day-make.right-stative
tsiyonakdóhaes	'Saturday (past)'	[tsi-yo-nakd-óhae-s]	coincident-it.o-bed-clean-habitual
tsigaǫ̲hyáhęh	'at noon (past)'	[tsi-ga-ǫ̲hy-á-hęh]	coincident-it.a-sky-joinerA-mid.stative
tsishéhde̲hjih	'this morning (earlier on in the day)'	[tsi-shéhde̲hjih]	coincident-ø.prefix-morning
tsigóhsreh	'winter past'	[tsi-g-óhsreh]	coincident-it.a-winter/year
tsaˀdę́hsyę:ˀ	‘you will put, lay them side by side’	[tsaˀd-ę́-hs-yę-:ˀ]	coincident.dualic-future-you(one).a-lay-punctual
tsaˀdégayęˀ	‘they are lying, setting side by side’	[tsaˀdé-ga-yę-ˀ]	coincident.dualic-it.a-lie-stative
tsaˀdęjatáhahk	‘you two will walk side by side’	[tsaˀd-ę-j-at-háh-a-hkw-ø]	coincident-dualic-future-you(two).a-semireflexive-road-joinerA-pick.up-ø.punctual
tsaˀdé:yoht	‘they are (literally, it is) the same, similar’	[tsaˀdé:-yo-ht]	coincident.dualic-it.o-resemble.stative
tsaˀdeyo̲hshé:dęh	‘it is the same number of’	[tsaˀde-yo̲-hshé:d-ęh]	coincident.dualic-it.o-count-stative
tsaˀdé:waˀs	‘they are (literally, ‘it is’) the same size’	[tsaˀdé:-w-aˀs]	coincident.dualic-it.a-be.a.certain.size.stative
tsaˀdé:yǫ:	‘of equal number, amount’	[tsaˀdé:-y-ǫ:]	coincident.dualic-it.o-be.a.certain.number.of.stative
tsaˀdewę̲hníhsra̲hęh	‘half a day’	[tsaˀde-w-ę̲hníhsr-a̲-hęh]	coincident.dualic-it.a-day-joinerA-sitting.on.top.of.stative
tsaˀdegáǫhya̲hęh	‘high noon’	[tsaˀde-gá-ǫhy-a̲-hęh]	coincident.dualic-it.a-sky-joinerA-sitting.on.top.of.stative
tsaˀdeganǫ́hsa̲hęh	‘in the middle of the house’	[tsaˀde-ga-nǫ́hs-a̲-hęh]	coincident.dualic-it.a-house-joinerA-sitting.on.top.of.stative
tsaˀdewa̲hsǫ́:tęh	‘at midnight’	[tsaˀde-w-a̲hsǫ́:t-hęh]	coincident.dualic-it.a-night-sitting.on.top.of.stative
tsaˀdeyoyę́hsrage:	‘they are two of the same kind of blanket’	[tsaˀde-yo-yę́hsr-age:]	coincident.dualic-it.o-blanket-be.two.or.more.stative
tsaˀdega̲ˀdréhdo̲ˀdę:	‘the cars look the same’	[tsaˀde-ga̲-ˀdréhd-o̲ˀdę:]	coincident.dualic-it.a-car-be.a.kind.stative
tsaˀdétgadeˀ	‘the same height’	[tsaˀdé-t-ga-deˀ]	coincident.dualic-cislocative-it.a-exist.stative
tsaˀdegyadǫ:dáik(hne:ˀ)	‘last week’	[tsaˀdeg-y-ad-ǫ:d-á-i-k-hne:ˀ]	coincident.dualic.cislocative-it.o-semireflexive-period
tsaˀdegyadǫ́dai	‘during the week’	[tsaˀdeg-y-ad-ǫ́d-a-i]	coincident.dualic.cislocative-it.o-semireflexive-period
